Part No.,Quantity,Item,Item Link (Amazon)
IRP001,1,ESP32-S3 DevKitC-1 N16R8 Module,https://amzn.eu/d/0hGKXkMX
IRP002,1,4 inch LCD TFT touch display,https://amzn.eu/d/0cEZjH7h
IRP003,2,MAX98357 Class D Audio Amplifier Board I2S 3W DAC Decoder Breakout Module,https://amzn.eu/d/02SEZ3c8
IRP004,2,"2"" 4Ohm 3W Full Range Audio Speaker Stereo Woofer Loudspeaker",https://amzn.eu/d/07zwBBQc
IRP005,1,USB Type C Screw Panel Mount to 6 pin JST PH Cable,https://amzn.eu/d/0ejVC6VA
IRP006,1,USB-C to XH2.54 4Pin Terminal Motherboard Power Supply Cable,https://amzn.eu/d/01NWOgeu
IRP007,1,Ultra Slim Flat USB-C Type-C Male to Female Extension Data Cable 90 Deg.,https://amzn.eu/d/021Mz2hg
IRP008,1,Push Button SPST Latching Switch,https://amzn.eu/d/03VBz3cK
IRP009,4,M3 (3mm x 20mm) Allen Socket Cap Head Screws (x4),https://amzn.eu/d/0aBU8Lml
IRP010,8,M3 (3mm x 10mm) Allen Socket Cap Head Screws (x8),https://amzn.eu/d/0j475W6z
IRP011,12,M3 Threaded Insert (x12),https://amzn.eu/d/0cYBCU3H
